object_0	object_1	answer	labels
Windows XP	Windows 8	- Windows XP SP3, Vista x64/x32 SP2, Windows 7 x64/x32 SP1, Windows 8 x64/x32 - Intel Core Duo or AMD Athlon X2 processor (Intel Core 2 Duo or AMD Athlon X4 or better recommended) - 2 GB RAM (4 GB or more recommended)	0
Chevrolet	Toyota	After extensive offseason testing and now two races completed this year, drivers and teams are finding out the Gen-6 cars -- Chevrolet SS, Ford Fusion and Toyota Camry -- are faster and have more downforce and better grip than the most recent cars, which were used from 2007-12.	0
BMW	Ferrari	Apple is doomed - just like BMW, Jaguar, Mercedes, Porshe and Ferrari are doomed.	0
Python	Java	Otherwise, Python (or sometimes Java) is used - it's simpler and quicker to write, and easier to modify.	0
Eclipse	NetBeans	5. Eclipse 3.3 and NetBeans 6.0 Compared!	0
Nike	Adidas	Solid first impression, no visible branding (only on zipper pull) and supposed to be more durable than any other performance gear (Nike, Adidas, UA etc.)	0
Chevrolet	Toyota	Sales of the Chevrolet Cruze compact are closing in on 200,000 through October, far better than GM's previous compact and a strong counterpunch to Toyota and Honda.	2
IBM	Dell	Although IBM has extensive retail offerings, that's no excuse for a bumpy shopping site; Dell seems to manage its extensive retail much better.	3
oregon	virginia	This is easy to pull off in Washington, oregon, New York, virginia , Missouri , Michigan , and Texas - and easier said than done in places like North Dakota , Florida ,   or Montana .	0
Intel	Sony	Old Chieftec Dragon case Seasonic X560 PSU Asus P8Z77V-Pro motherboard I5-3570K overclocked to 4.3Ghz Scythe Ninja CPU Cooler 16Gb DDR3-1600 RAM Samsung 830 SSD 128Gb Intel X25 SSD 80Gb 500Gb Seagate and 640Gb Western Digital Spinning drives Sony DVD-RW	0
california	carolina	california is a much harder place to practice law than is South carolina.	3
Java	Python	Exposing Java classes as Python types for better performance.	0
steel	stone	Do you think water is much harder than steel or a stone?	0
swimming	fishing	Enjoy swimming, fishing.	0
Advil	Motrin	Advil, Motrin) may be recommended.	0
Ford	Chevrolet	That's like saying Ford/Chevrolet/Dodge/etc, is better than Ferrari/Lamborghini/Bugatti/Aston Martin/McLaren/etc, because they outsell them by a huge margin.	0
PHP	Java	However, I do wish it was optimized better, but PHP is not Java.	2
Java	Ruby	Java, Ruby, python	0
Dell	Intel	Dell & Altiris Demo is below For the HP & Symantec Demo, click below See Lenovo Demo below Other fab features include new 'System Defense Filters' and the latest Intel Core 2 Duo chips that make up part of vPro are up to 30% faster, yet they are much much cooler at idle - sipping only a paltry 8 Watts.	0
Java	Perl	I agree that Java is better than Perl.	2
Ford	Chevrolet	You've got three really good Ford and Chevrolet teams over there and they're all using the same cars and making them better each week.	0
Java	Objective-C	3+ years programming in any of: C C++ , Ruby, Python, Java Solid working knowledge of the Objective-C language Strong knowledge with the...	0
Ruby	Python	Modern languages like scala, Ruby and maybe Python are much better at this.	0
AWK	Sed	Maybe Unix is decent for server tasks, you know if you're an AWK/bash/Sed guru you can do cool shit on console and wow your pimply MIT women, you know... that is, until you start comparing that dinosaur shit with modern PowerShell for instance... but desktop Unix software?	0
Sony	Apple	If Sony and Google are joining forces to make a phone for gamers, it'll make Apple work harder to keep its users happy.	0
google	facebook	7. google Plus is evolving faster than facebook	2
Cadillac	Lexus	Well if they can get enough power in the SRX, than Cadillac may actually have a better Crossover than the Lexus RX.	2
california	carolina	i am looking into moving from california to south carolina for a better job.	0
Sony	Dell	I own at least 10 differently aged LCD screens (from Viewsonic to Sony and Dell, and even some noname ones) , and none of them have any visible colour shifting Some of them are over 10 years old at this point, and as computer monitors they worked a lot harder then any LCD tv.	0
Java	Ruby	Java vs Python vs Ruby	0
missouri	virginia	It should move even faster to add the University of missouri, West virginia, and Louisville to consolidate its power.	0
volleyball	basketball	When the volleyball team pranced into Matador Gym that night, the crowd cheered and a mediocre basketball team was transformed.	0
Windows 8	Windows 7	In my opinion Windows 8 is worlds better then Windows 7.	2
Scala	Java	I know you can write Scala as a 'better Java'.	2
Sony	Google	With my (not so cheap) Sony UX and 2.5G internet, I can run AGWTracker with Google Maps connected to APRS-IS in the car (sadly, I have better connectivity across much of the country than I do via rf.)	0
Oracle	MySQL	Oracle, MySQL	0
Bluetooth	USB	I like the Bluetooth for use with a mouse and the USB 3 makes transferring data so much faster.	3
Sony	Dell	That said, the solid metal base provides a 25-degree range of motion, and much more stability than you get from the Samsung Series 7 (DP700A3B-A01US) ($1,099 direct, 3.5 stars) or the Sony VAIO VPC-L231FX/W ($999.99 list, 4.5 stars), if less than you get with the Dell Inspiron One 2320 ($1,249.99 direct, 4 stars).	2
Honda	Ford	Which is a better vehicle, a Honda Civic, or a Ford F-150?	0
steak	sandwich	My thought was well what would be better than a nice steak sandwich for lunch?	0
Java	Python	There are other cross-platforms languages around, that are easier to learn and arguably more productive, like Java or Python.	0
AWK	Sed	And note that AWK probably is faster than Sed .	2
AWK	Perl	Whenever I have to parse a lot of files in some custom way, it's always faster (than grep, AWK and certainly Perl) to write a native program to do it.	0
Python	Bash	I have solid programming skills with C/C++, Python, proficient in Java, HTML, Bash, Matlab, ect., and I have good understanding on object-oriented programming, algorithms, data structures, design patterns, distributed system and Nosql database.	0
stanford	mit	But if you go to any major research university in the United States- stanford, Michigan, Duke, mit- you'll find a solid consensus behind global warming.	0
Renault	Nissan	Renault revives the Gordini brand; nitrogen in your tyres can mean safer driving; something fishy at Nissan; prize for a professor; the latest F1 news and the ultimate present for frustrated racing drivers.	0
Nokia	Samsung	The extra Nokia apps give it an edge over Samsung and HTC and L920's design is just better.	2
Leica	Nikon	I realize this is a long shot but I'm looking for a decent pair of 8x42 or 10x42 binoculars- Leica, Zeiss, Nikon, Minox, Pentax even Bushnell if they're the right model .	0
Amazon	Microsoft	According to The New York Times, Amazon has an employee stack-ranking system every bit as bad - if not considerably worse - than did Ballmer's Microsoft.	3
california	pennsylvania	I am now going into my senior year in the california University of pennsylvania program feeling much better about my prospects for a job.	0
Objective-C	Swift	Senior iOS Developer - iOS Development, Objective-C, Swift...	0
Google	Microsoft	Google Docs sounds better than Microsoft Word.	2
rat	mouse	rat/mouse: Okay, but cat is better form the standard list.	0
Direct3D	OpenGL	In 3ds Max 7.0+, Direct3D , not OpenGL or MAXtreme is the fastest driver, ...so a Geforce 7800 is faster than a Quadro FX 4000..	0
Microsoft	IBM	In the Y2K runup, the definition of collaboration was easier to wrap around the leading players, from Microsoft to Lotus/IBM to Netscape.	0
MySQL	PostgreSQL	As for parallel mode MySQL retained its performance while PostgreSQL/PostGIS introduced some decrease in performance while still performing faster, now by 27.5% .	2
Python	Haskell	It would even been even easier, however, if the C API of Python 2.7 was a little better, and had a little more consistent reference count semantics, and if Haskell supported varargs functions in its FFI.	0
missouri	california	Westward: missouri to california .	0
Sony	Google	Sony, though having slower updates, does manage to optimize the OS much better than Google, yielding better results.	2
baseball	softball	Improved baseball and softball, the latter being decent in the BIG.	0
carolina	california	East carolina and Boise st are a harder game than Purdue, Illinois, Indiana, Kansa, Texas tech, california, Colorado, Kentucky, Rutgers, West Virginia, Maryland, virginia, and so on.	0
Apple	IBM	I see the G4 getting worked on a bit - maybe by Apple/Moto/IBM putting their heads together, allowing them to make a much better consumer level chip.	0
Ethernet	Bluetooth	High End Default MacBookPro CPU: i7 2.5G Memory: 8G Solid State Drive: 512G Screen Size: Screen Res: 2200x1600 Video: NVIDIA GeForce GT 650M (1G) + Intel 4000 720p Camera: yes Ethernet Port: yes - adaptr DVD Writer: yes - external/portable Bluetooth: yes Cost $2907 Note in this config you have half (1G) the video memory of the W520	0
Ruby	PHP	If you are like me, you understand that Ruby on Rails is way cooler these days, but do not feel ashamed to admit you're coding in PHP because sometimes it just gets the job done faster.	0
hockey	football	I actually like hockey - it's easier to understand than football.. ;c)	2
Windows 8	Windows 7	I'd avoid Windows 8 myself and buy Windows 7 (you'll find it an easier transition).	3
Objective-C	Java	Swift Swift is based on Objective-C, and will be even easier for a Java programmer to learn and use.	3
Intel	Dell	__________________ Sapphire AMD Radeon 7970 OC Intel 3570K with Coolermaster EVO CPU Cooler 16GB Corsair VENGEANCE DDR 3 RAM@1600Mhz Gigabyte Z77X-D3H Dell IPS 1080P Monitor Soundblaster Titanium X Fi HD/ Audioengine A5+/S8	0
Python	Perl	Python and Perl both work better than Java on Linux, they're faster to develop with, they start faster, easier to debug, more useful libraries, more code developed by other people that you can leverage, etc. etc.	0
NetBeans	Eclipse	IDE's: NetBeans, Eclipse, Sun Studio Creator	0
milk	soda	milk & water are just plain better than soda, tea or juice.	2
Toyota	Nissan	I think the Toyota stopped fine, but the Nissan was definitely better.	3
Apple	Microsoft	Right now Apple is worse then Microsoft ever was.	3
soda	tea	soda, coffee, tea, water	0
Python	Ruby	Python and Ruby are solid choices.	0
soup	sandwich	Perhaps some soup and a light sandwich would have been better straight after a major operation.	0
Windows XP	Windows Vista	"Explain the pros and cons of each system lTe A customer has asked if Windows XP is better than Windows Vista."" ."	0
Eclipse	NetBeans	Re: A constructive debate: Eclipse or NetBeans?	0
football	golf	"The subject could be football, golf, bocce ball, snake charming, lizard racing""weirder was always better..."	0
Ethernet	Bluetooth	The keyboard will have 1GB of on-board memory, a 16 GB or 32 GB solid state drive, Wi-Fi, gigabit Ethernet and Bluetooth connectivity.	0
Python	Lisp	Some people find it easier to learn Python than Lisp, and some instructors don't want to spend the time to introduce a new language to students (admittedly, this is partly the fault of the authors of AIMA for producing a 1000 page book).	2
carolina	georgia	A loss to E. carolina or georgia will make us A LOT worse!	0
